4030000313;4030000185;Cultes - Ecole du dimanche;4030000005;Enfance;4.3.5 - 2.16;0403050216;;
4030000299;4030000188;Culte de l'enfance 2004-2005;4030000005;Enfance;4.3.5 - 2.17;0403050217;;
4030000317;4030000201;Culte de l'Enfance 2005-2006;4030000005;Enfance;4.3.5 - 2.18;0403050218;;
4030000331;4030000212;Culte de l'enfance 2006-2007;4030000005;Enfance;4.3.5 - 2.19;0403050219;;
4030000341;4030000218;Culte de l'enfance 2007-2008;4030000005;Enfance;4.3.5 - 2.20;0403050220;;
4030000353;4030000228;Acey CE 2009;4030000005;Enfance;4.3.5 - 2.21;0403050221;;
4030000356;4030000231;Culte de l'enfance 2008-2009;4030000005;Enfance;4.3.5 - 2.22;0403050222;;
4030000135;4030000066;Aînés de la paroisse;4030000006;Aînés;4.3.7 - 2;0403070200;;
4030000227;4030000075;Groupe - Responsables visiteurs paroissiaux;4030000006;Aînés;4.3.7 - 3;0403070300;;
4030000138;4030000076;Retraite des aînés Château d'Oex 10 - 12 juin 2003;4030000006;Aînés;4.3.7 - 4;0403070400;;
4030000139;4030000077;FVP;4030000006;Aînés;4.3.7 - 5;0403070500;;
4030000140;4030000078;Vieillir, Comprendre, Accompagner 2003-2004;4030000006;Aînés;4.3.7 - 6;0403070600;;
4030000361;4030000080;Noël 2009;4030000006;Aînés;4.3.7 - 7;0403070700;;
4030000163;4030000092;Noël 2007;4030000006;Aînés;4.3.7 - 8;0403070800;;
4030000156;4030000159;Responsable Aînés;4030000006;Aînés;4.3.7 - 9;0403070900;;
4030000164;4030000161;Nonagénaires;4030000006;Aînés;4.3.7 - 10;0403071000;;
4030000167;4030000164;Noël 2008;4030000006;Aînés;4.3.7 - 11;0403071100;;
4030000279;4030000172;Groupe - Choeur aînés;4030000006;Aînés;4.3.7 - 12;0403071200;;
4030000369;4030000199;Envoi Noël 2010;4030000006;Aînés;4.3.7 - 13;0403071300;;
4030000370;4030000227;Noël 2010;4030000006;Aînés;4.3.7 - 14;0403071400;;
4030000146;4030000104;Terre Nouvelle - Responsables Ouverture Monde;4030000007;Terre Nouvelle;4.3.9 - 3;0403090300;;
4030000142;4030000107;Terre Nouvelle - Commission ;4030000007;Terre Nouvelle;4.3.9 - 4;0403090400;;
4030000143;4030000108;Terre Nouvelle - donateurs;4030000007;Terre Nouvelle;4.3.9 - 5;0403090500;;
4030000145;4030000109;TN-Ouverture Monde/Externes;4030000007;Terre Nouvelle;4.3.9 - 6;0403090600;;
4030000144;4030000110;Terre Nouvelle - Vente;4030000007;Terre Nouvelle;4.3.9 - 7;0403090700;;
