;;;;Catégories;;;;;;Groupes réels;;;Accès tâches utilisateur;;;;;;;;;;;;;;Région Morges;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Secrétariats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Central;;;Régional;;;Paroissial;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Superstructures groupes A;;Superstructures groupes B;;Superstructures groupes C;;Groupes;;Sous-Groupes A;Consultation;Composition;Définition;Consultation;Composition;Définition;Consultation;Composition;Définition;Abacus;A décider…;Focntions;Bénévoles;Code FM pro;;;;;;;;;;;;;;;;;;
15130;1.2.1 - 3;0102010300;;;;;;;3;Laïcs au service de la mission de l'Eglise;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15200;1.2.2;0102020000;;;;;2;Administratifs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15210;1.2.2 - 1;0102020100;;;;;;;1;Responsable d'Office;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15220;1.2.2 - 2;0102020200;;;;;;;2;Adjointe;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15230;1.2.2 - 3;0102020300;;;;;;;3;Collaborateur;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15240;1.2.2 - 4;0102020400;;;;;;;4;Secrétaire;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15250;1.2.2 - 5;0102020500;;;;;;;5;Secrétaire régionale;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15260;1.2.2 - 6;0102020600;;;;;;;6;Réceptioniste;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15270;1.2.2 - 7;0102020700;;;;;;;7;Comptable;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15280;1.2.2 - 8;0102020800;;;;;;;8;Comptable régional;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15290;1.2.2 - 9;0102020900;;;;;;;9;Aide-comptable;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15300;1.2.2 - 10;0102021000;;;;;;;10;Rédacteur;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15310;1.2.2 - 11;0102021100;;;;;;;11;Rédacteur régional;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15320;1.2.2 - 12;0102021200;;;;;;;12;Journaliste;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15330;1.2.2 - 13;0102021300;;;;;;;13;Webmaster;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15340;1.2.2 - 14;0102021400;;;;;;;14;Webmasteur régional;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15350;1.2.2 - 15;0102021500;;;;;;;15;Informaticien;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15360;1.2.2 - 16;0102021600;;;;;;;16;Informaticien régional;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15370;1.2.2 - 17;0102021700;;;;;;;17;Graphiste;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15380;1.2.2 - 18;0102021800;;;;;;;18;Autre;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15390;1.2.2 - 19;0102021900;;;;;;;19;Autre régional;;;O;;;O;O;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15500;1.2.3;0102030000;;;;;3;Ministres (statut);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15510;1.2.3 - 1;0102030100;;;;;;;1;Coordinateur;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15520;1.2.3 - 2;0102030200;;;;;;;2;Ministre cantonal;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15530;1.2.3 - 3;0102030300;;;;;;;3;Ministre paroissial;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15540;1.2.3 - 4;0102030400;;;;;;;4;Ministre de service communautaire;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15550;1.2.3 - 5;0102030500;;;;;;;5;Aumônier;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15560;1.2.3 - 6;0102030600;;;;;;;6;Ministre lieu phare;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15570;1.2.3 - 7;0102030700;;;;;;;7;Suffragant;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15580;1.2.3 - 8;0102030800;;;;;;;8;Vicaire;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15590;1.2.3 - 9;0102030900;;;;;;;9;Stagiaire;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15600;1.2.3 - 10;0102031000;;;;;;;10;Remplaçant;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15610;1.2.3 - 11;0102031100;;;;;;;11;Intérimaire;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15620;1.2.3 - 12;0102031200;;;;;;;12;Retraité;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15630;1.2.3 - 13;0102031300;;;;;;;13;Autre;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15700;1.2.4;0102040000;;;;;4;Membre organe indemnisé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15710;1.2.4 - 1;0102040100;;;;;;;1;Laïc indemnisé;;;O;O;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;
15720;1.2.4 - 2;0102040200;;;;;;;2;Ministre indemnisé;;;O;O;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;
15800;1.2.5;0102050000;;;;;5;Personnel libre;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15810;1.2.5 - 1;0102050100;;;;;;;1;personnels n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16000;1.3;0103000000;;;3;Association Personnel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16010;1.3.1;0103010000;;;;;1;Ministérielle;;;;;O;O;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;
16020;1.3.1 - 1;0103010100;;;;;;;1;Comité Ministérielle;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;
16100;1.3.2;0103020000;;;;;2;Ass. des laïcs salariés;;;;;O;O;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;
16110;1.3.2 - 1;0103020100;;;;;;;1;Comité ALS;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;
20000;2;0200000000;2;Synodal Cantonal Central;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21000;2.1;0201000000;;;1;Autorités, Organes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21100;2.1.1;0201010000;;;;;1;Assemblée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21110;2.1.1 - 1;0201010100;;;;;;;1;Synode;;;O;O;;;;;;;;Y;;1;;;;;;;;;;;;;;;;;;;;
21120;2.1.1 - 1.1;0201010101;;;;;;;;;1;Délégations Régions 1;O;;;O;O;;O;;;Y;;;;Syn 01;;;;;;;;;;;;;;;;;;
21130;2.1.1 - 1.10;02010101010;;;;;;;;;2;Délégations Régions 2;O;;;O;O;;O;;;Y;;;;Syn 02;;;;;;;;;;;;;;;;;;
21140;2.1.1 - 1.11;02010101011;;;;;;;;;3;Délégations Régions 3;O;;;O;O;;O;;;Y;;;;Syn 03;;;;;;;;;;;;;;;;;;
21150;2.1.1 - 1.12;02010101012;;;;;;;;;4;Délégations Régions 4;O;;;O;O;;O;;;Y;;;;Syn 04;;;;;;;;;;;;;;;;;;
21160;2.1.1 - 1.13;02010101013;;;;;;;;;5;Délégations Régions 5;O;;;O;O;;O;;;Y;;;;Syn 05;;;;;;;;;;;;;;;;;;
21170;2.1.1 - 1.14;02010101014;;;;;;;;;6;Délégations Régions 6;O;;;O;O;;O;;;Y;;;;Syn 06;;;;;;;;;;;;;;;;;;
21180;2.1.1 - 1.15;02010101015;;;;;;;;;7;Délégations Régions 7;O;;;O;O;;O;;;Y;;;;Syn 07;;;;;;;;;;;;;;;;;;
