Début;DesG;DesSG;Fin;IdxG;IdxP;IdxPar;IdxSG;TexteLibre
;non;Sélection;;403110101;9010000405;9010000000;403110100;
;non;Sélection;;403110101;9010000407;9010000000;403110100;
;non;Sélection;;403110101;9010000408;9010000000;403110100;
;non;Sélection;;403110101;9010000409;9010000000;403110100;
;non;Sélection;;403110101;9010000410;9010000000;403110100;
;non;Sélection;;403110101;9010000412;9010000000;403110100;
;non;Sélection;;403110101;9010000413;9010000000;403110100;
;non;Sélection;;403110101;9010000414;9010000000;403110100;
;non;Sélection;;403110101;9010000415;9010000000;403110100;
;non;Sélection;;403110101;9010000416;9010000000;403110100;
;non;Sélection;;403110101;9010000417;9010000000;403110100;
;non;Sélection;;403110101;9010000418;9010000000;403110100;
;non;Sélection;;403110101;9010000419;9010000000;403110100;
;non;Sélection;;403110101;9010000420;9010000000;403110100;
;non;Sélection;;403110101;9010000421;9010000000;403110100;
;non;Sélection;;403110101;9010000422;9010000000;403110100;
;non;Sélection;;403110101;9010000423;9010000000;403110100;
;non;Sélection;;403110101;9010000425;9010000000;403110100;
;non;Sélection;;403110101;9010000426;9010000000;403110100;
;non;Sélection;;403110101;9010000428;9010000000;403110100;
;non;Sélection;;403110101;9010000429;9010000000;403110100;
;non;Sélection;;403110101;9010000432;9010000000;403110100;
;non;Sélection;;403110101;9010000433;9010000000;403110100;
;non;Sélection;;403110101;9010000435;9010000000;403110100;
;non;Sélection;;403110101;9010000436;9010000000;403110100;
;non;Sélection;;403110101;9010000437;9010000000;403110100;
;non;Sélection;;403110101;9010000438;9010000000;403110100;
;non;Sélection;;403110101;9010000439;9010000000;403110100;
;non;Sélection;;403110101;9010000440;9010000000;403110100;
;non;Sélection;;403110101;9010000441;9010000000;403110100;
;non;Sélection;;403110101;9010000442;9010000000;403110100;
;non;Sélection;;403110101;9010000443;9010000000;403110100;
;non;Sélection;;403110101;9010000444;9010000000;403110100;
;non;Sélection;;403110101;9010000445;9010000000;403110100;
;non;Sélection;;403110101;9010000446;9010000000;403110100;
;non;Sélection;;403110101;9010000448;9010000000;403110100;
;non;Sélection;;403110101;9010000449;9010000000;403110100;
;non;Sélection;;403110101;9010000450;9010000000;403110100;
;non;Sélection;;403110101;9010000452;9010000000;403110100;
;non;Sélection;;403110101;9010000453;9010000000;403110100;
;non;Sélection;;403110101;9010000454;9010000000;403110100;
;non;Sélection;;403110101;9010000456;9010000000;403110100;
;non;Sélection;;403110101;9010000457;9010000000;403110100;
;non;Sélection;;403110101;9010000459;9010000000;403110100;
;non;Sélection;;403110101;9010000460;9010000000;403110100;
;non;Sélection;;403110101;9010000462;9010000000;403110100;
;non;Sélection;;403110101;9010000463;9010000000;403110100;
;non;Sélection;;403110101;9010000464;9010000000;403110100;
;non;Sélection;;403110101;9010000465;9010000000;403110100;
;non;Sélection;;403110101;9010000467;9010000000;403110100;
;non;Sélection;;403110101;9010000468;9010000000;403110100;
;non;Sélection;;403110101;9010000469;9010000000;403110100;
;non;Sélection;;403110101;9010000471;9010000000;403110100;
;non;Sélection;;403110101;9010000472;9010000000;403110100;
;non;Sélection;;403110101;9010000473;9010000000;403110100;
;non;Sélection;;403110101;9010000475;9010000000;403110100;
;non;Sélection;;403110101;9010000476;9010000000;403110100;
;non;Sélection;;403110101;9010000477;9010000000;403110100;
;non;Sélection;;403110101;9010000478;9010000000;403110100;
